f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.max,ic.eps.s,ela_meta.lin_simple.intercept,ela_distr.skewness,ela_meta.lin_simple.coef.min,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_10,ela_level.mmce_lda_10
1,1,-0.229630304393637,-0.1682253996166665,-0.8100154865712768,-0.1801586620552593,-0.3855926937838797,-0.1340165045952231,-0.7326384694801998,0.7232901223051407,0.2516457461067982,0.4099927691106588
1,2,-0.2296299968034469,-0.1682253897364949,-0.7670568149501644,-0.1801580439328,-0.4210886096353797,-0.134016464003464,-0.687161401459961,0.7232901223051407,-1.6537958585815264,-1.6318141807112934
1,3,-0.2296300641167241,-0.1682253896997504,-0.7756399661232138,-0.1801591091693863,-0.4181029718534778,-0.1340165008959841,-0.6962931603731158,0.7232901223051407,-1.375308239434771,-1.337894037857903
1,4,-0.2296301898078877,-0.1682253905176377,-0.7928491842251779,-0.1801589988163585,-0.4066127900867645,-0.1340165015604204,-0.7144658149266578,0.7232901223051407,-0.7919499635378897,-0.6531226412101099
1,5,-0.2296301898078877,-0.1682253935283779,-0.7928491842251779,-0.1801587931804397,-0.396163057850108,-0.1340164953726026,-0.7144658149266578,0.7232901223051407,-0.7362524397085334,-0.6312349709976232
2,1,-0.0303050436840755,-0.1440930990129248,1.5870869730379622,-0.1530494232267232,-0.2454788237362424,-0.1337618390753003,1.68673246286923,0.7207237007543938,1.201435099828357,0.5600796505677154
2,2,-0.0256032497804868,-0.1524164212822479,1.5612946037629487,-0.1590217227268019,-0.2158787885550637,-0.1337817977554357,1.6958187901460011,0.7191196872851773,0.679637245006022,0.4631485396267038
2,3,0.0213634837220745,-0.1360376589492635,1.6300456446590743,-0.1432835037748989,-0.2699369271819234,-0.1337166697760884,1.74129585816624,0.7181572792036469,-0.6600347755210063,-0.3842169785995611
2,4,0.0332046283046612,-0.1599798343773669,1.526961999070751,-0.1577554164313926,-0.3610290374873234,-0.1335761289242662,1.732209530889469,0.7168740684282737,-0.2115231362635947,0.4912898298999003
2,5,-0.0209014558768982,-0.1359096874757503,1.6558380139340878,-0.1436407566517737,-0.2280626033418148,-0.13370140642478,1.7231232036126982,0.7191196872851773,-0.3668899132612581,-0.102804075867591
3,1,-0.2296246504187499,-0.1682252458163305,-0.3546364010851403,-0.1801586632526093,-0.180262240873992,-0.1340164548990561,-0.368821925318289,0.6554403525572724,0.3102747185587467,0.6132354210837543
3,2,-0.2296184479810671,-0.1682214327800527,0.0233655765759555,-0.1801548767191069,-0.1235954389326423,-0.1340164556022172,-0.1414365852170947,0.699550722960733,-0.0297733216625542,0.2599058876536143
3,3,-0.2295986980868354,-0.1682229804395201,-0.0453425485643048,-0.180154310777546,-0.2280927612992078,-0.1340164175336856,-0.0141371400695331,0.6902474448392758,-1.5101548760742525,-1.3973034284346515
3,4,-0.229619596731925,-0.1682243286441954,-0.1398430429795789,-0.1801569478832504,-0.0718443840463432,-0.1340164361827414,-0.1869136532373336,0.6835105882685656,0.0083355104312121,0.1973696870465099
3,5,-0.2296208886617828,-0.1682250163463833,-0.311677729464028,-0.1801573641211943,-0.2177485819134265,-0.1340164218627124,-0.2687814620010403,0.6786985478609151,0.5389277111213457,0.619489041144464
4,1,-0.2296142921733668,-0.1682233599520954,0.0405747946779197,-0.1801564331353467,0.0309339347488241,-0.1340164107201563,-0.0141371400695331,0.5901570043601511,0.691363039496412,0.4694021596874135
4,2,-0.2295596915744921,-0.1682187713715525,0.1694508095412566,-0.1801501983056945,-0.1222383308499597,-0.1340163209845684,0.1586848047346513,0.71174122532678,-0.0708136023789185,0.1066921961662081
4,3,-0.2296150670419449,-0.1682240585954215,-0.1226767406334801,-0.1801562783260671,-0.0960612238328806,-0.1340164704929278,-0.1505683441302495,0.6578463727610977,0.4275326634626437,0.4787825897784799
4,4,-0.2296138864853508,-0.1682214070082503,0.0749503151259825,-0.1801539044072096,-0.0947342737075909,-0.1340163424829554,0.0450148505022462,0.6751697182286384,0.7118831798545934,0.6319962812658853
4,5,-0.229619596731925,-0.1682213084169802,0.1092829198181802,-0.180154296332358,-0.000686683577682,-0.1340164137529208,0.0131672733971638,0.6828689828808789,0.6620485532704378,0.4631485396267038
5,1,-0.2296305042485441,-0.168225379402798,-0.8615573093654384,-0.1801586501806628,-0.5177448630797786,-0.1340164676578637,-0.7781155375004387,0.7232901223051407,-3.3129957789716675,-3.517280629015491
5,2,-0.2296305042485441,-0.168225379402798,-0.8615573093654384,-0.1801575663170029,-0.5149100150848416,-0.1340164676578637,-0.7781155375004387,0.7232901223051407,-3.3305844707072523,-3.567309589501175
5,3,-0.2296305042485441,-0.168225379402798,-0.8615573093654384,-0.1801585264781237,-0.5200971837564285,-0.1340164676578637,-0.7781155375004387,0.7232901223051407,-3.3305844707072523,-3.604831309865437
5,4,-0.2296305042485441,-0.168225379402798,-0.8615573093654384,-0.1801571008356884,-0.5212431861373606,-0.1340164676578637,-0.7781155375004387,0.7232901223051407,-3.315927227594265,-3.617338549986858
