f_id,i_id,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ic.eps.s,ela_meta.lin_w_interact.adj_r2,pca.expl_var.cov_init,ic.eps.ratio,pca.expl_var_PC1.cor_x,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.coef.max,ic.eps.max,disp.diff_median_25,ela_distr.skewness,ela_distr.number_of_peaks,nbc.nn_nb.cor,disp.ratio_median_25,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,ic.h.max,ela_level.mmce_qda_50,disp.diff_mean_25,ela_level.lda_mda_50,pca.expl_var_PC1.cov_init,ela_level.mmce_mda_50,ela_level.lda_mda_10,nbc.nn_nb.mean_ratio,ela_level.lda_mda_25,disp.diff_median_02,ela_level.qda_mda_25,disp.ratio_mean_10,disp.ratio_mean_05
1,1,0.0559849177694014,0.5899767033961963,1.4106223379395004,1.1922248980310084,-0.7091399635591878,1.4969369349792463,1.1078655157211157,0.6200812355198588,0.848106398212836,0.7710553020741628,-0.0855567783945128,-0.2256322824099885,-0.2930463917577931,0.3005555516281549,-0.0856305076471357,0.2752134613388747,0.1966419042310152,0.1352368472531335,-0.7110669959353533,-0.0614303513768339,0.1362502086726362,0.6997709232301093,-0.825937984093964,3.07559215023773,0.4463143522703603,1.9276259966189733,0.0929535911002174,0.8556649633858158,-0.0245007635038727,0.0508566364736869
2,1,5.243753969177551,5.016558203666429,1.5727829619756162,0.4653797715165932,-0.7091399635591878,1.6750219215066549,0.7045839263163559,1.2252867516142665,4.673362620780675,4.616384489550246,-1.519797321192622,-0.2756442384277232,-0.7087263278924888,1.6443939906802616,-1.519290090659699,1.736616077704118,-0.3460792430287337,0.5474975662589354,-0.3723600701021649,-1.5380384893406618,-0.272773013755936,0.6997709232301093,-0.3678982493522554,0.8295576979458652,1.30790007007326,-0.3019703038156947,-1.5633770836784893,-0.5735099508198148,-1.5808188192125563,-1.567075550992846
4,1,-0.2543720670870087,-0.3186968038694623,-0.0375954845752539,0.3543522104492968,-0.7091399635591878,-0.0311906492205748,-0.1019792524932753,0.6254221818293153,-0.3594187638153306,-0.3694447702917196,-0.830823325048222,-0.2017945787875563,-0.3392330513283148,0.7828302811571353,-0.83092646415908,0.9555570141052536,-0.3865478747446477,-0.1343501420363741,-0.4372113441430668,-0.8106256117819998,-0.2183281879791559,0.6997709232301093,-0.4098795365156161,1.6091974616318665,0.910245123394998,-0.0078340670109101,-1.0348939162132176,-0.214305560618399,-0.9138253667659774,-0.9486278052702958
5,1,-0.2543799077095462,-0.3187007814622292,-1.4243118096515783,-1.7664874050932158,1.4275086135387989,-1.3870010655027214,-0.4380472436637498,-1.5710801375511434,-0.3594227922848242,-0.3694496875397912,1.4690304016937124,-0.4370930126917186,-0.7087263278924888,-1.4527140380136594,1.4691396682986146,-1.2499071312673289,-0.4289727613888521,1.189529349982255,2.2195761760760533,1.4609663229812035,-0.4397478530851166,-1.648925550924001,2.125380634618073,-0.8196422584444218,-1.848486069185452,-0.8274892391679958,1.3253538573637875,0.7886181091219158,1.3818107326184306,1.3740346990291272
6,1,-0.2543799074656059,-0.3187007722136891,-1.1726919229927142,-1.194129667833444,1.4275086135387989,-1.1169753285992543,-0.4380472436638804,-1.0494985808162254,-0.3594227921390358,-0.3694496867179838,0.566979190924053,-0.3576442217401855,-0.7087263278924888,-0.5333778348490407,0.5675385875737495,-0.738107902751235,-0.477861277145357,1.1132154945526107,1.0254668475403168,0.5884879793695724,-0.4079482203305372,-1.6489255509240013,1.230803775632963,-0.8196422584444218,-0.7604579511907582,-0.811465274185191,0.5139266900628098,0.6427130376667953,0.5581139991753671,0.5455076497335782
7,1,-0.25437967151247,-0.3187006825263047,-0.6414943844906675,0.9432738822257551,0.3590374359084704,-0.5884594920117889,-0.3036200471954966,1.3754436421429843,-0.3594227151771187,-0.3694496215813924,-1.1284617228142944,-0.2981879478478572,-0.7087263278924888,0.8732567929438189,-1.12904484676386,1.2350939421301104,-0.5299758469900254,0.4720132092578724,-0.6025116024321047,-1.138666346061073,-0.3148870055072308,0.2053155316316673,-0.5979420505563624,1.297934438107038,1.202963348033162,-0.371519345547345,-1.373003437155717,-0.3087964640369535,-1.241964715861181,-1.3168025031137898
8,1,-0.2543798579726967,-0.3187007321980912,-0.8316127737111014,0.2795685060967305,1.4275086135387989,-0.7722836015339577,0.0324479439751084,0.9934896817838564,-0.3594227853616714,-0.3694496725334537,-1.2870695118453048,-0.3252575706390627,-0.7087263278924888,-0.3223826406801119,-1.2874202375226471,0.1971075549789883,-0.5408001503682738,1.0518326108374607,-0.0646689709841904,-1.311213877818105,-0.4279880562359203,-1.5420270978415849,0.090824107944955,0.051894207425101,0.4463143522703603,-0.7293319667602384,-1.062659299468066,-0.1531643878181587,-1.2379466830151178,-1.1538838595265668
9,1,-0.2543798438758357,-0.3187007208785654,-0.809240975596577,0.1882208672274777,1.6945529634057128,-0.7550662325496771,0.7717975245504919,0.6119935168226818,-0.3594227840180777,-0.369449669894316,-1.2922044430937631,-0.2950664168100856,-0.7087263278924888,0.2628778383837032,-1.292595903887313,0.4869215759459353,-0.5344284967281614,0.9431683166930735,-0.1330447707881848,-1.3047417700369115,-0.2859604035458541,-1.506928105131628,-0.063448589598452,0.1092061292169725,0.6147654060715686,-0.5078488905581193,-1.0371409328624188,-0.2796154497459296,-1.2218745516308631,-1.1388781949856388
10,1,-0.2543798608659389,-0.3187003615766016,-0.4737477933847581,-1.655459844025919,-0.7091399635591878,-0.4046066868746463,-0.3708336454296325,-1.4093257636076053,-0.3594227717844446,-0.3694494054928051,1.4315727300607974,-0.3627711371578221,-0.7087263278924888,-1.389917849272907,1.4318748704730215,-1.159468713376934,-0.4972168336119396,1.240128754125824,1.7885266752498412,1.430817358593433,-0.4422818305548979,0.4902446169387317,1.7482316727033278,-0.8196422584444218,-1.9009544302055008,-0.8279087146911058,1.2508791415007126,0.7886181091219158,1.3329246663246548,1.2973986265522428
11,1,-0.2543798736085162,-0.3187003438624015,-0.4681618263149643,-1.6611998213336818,-0.7091399635591878,-0.4046066868746463,0.906224721018596,-1.4683813699435952,-0.3594227702140687,-0.3694493921768521,1.1765758781268385,-0.3621885331330906,-0.7087263278924888,-1.4275955625173584,1.1761969520585072,-1.358844316453486,-0.4572217123645342,1.253400728983154,1.8424519194251563,1.1740389216111822,-0.4411397562023205,0.4922464606294137,1.7915782049776927,-0.8196422584444218,-1.710411434922163,-0.8283281902142159,1.0529615784073638,0.7920920393946563,1.125326302611363,1.091070739114477
12,1,-0.2543799075887227,-0.3187007158126372,-1.0217032330961862,-1.7646981408428342,1.4275086135387989,-0.9676146526606209,-0.7069016366002563,-1.5710801375511434,-0.3594227922416276,-0.3694496845665854,1.454412773739404,-0.2966363813398882,-0.7087263278924888,-1.7817660670152031,1.4536126692046198,-1.4307839670481184,-0.4597883848838177,1.216902798125498,2.213936934855105,1.4428671874021373,-0.4399441471144658,-1.6498597446463192,2.117530475229803,-0.8196422584444218,-1.8650550252970444,-0.8274892391679958,1.293370478810888,0.7886181091219158,1.3510058141319423,1.307045125185697
13,1,-0.2543799070962559,-0.3187007065398187,-1.1559060919479838,0.9719737687645692,1.4275086135387989,-1.1227144515940146,0.4357295333798681,1.4435025579720582,-0.3594227912715043,-0.3694496867179838,-1.2423438120275183,-0.2905589014608478,-0.7087263278924888,2.199512299148515,-1.2418743735135842,2.026430098671064,-0.5302978571504832,0.4902621746867022,-0.6416338384024313,-1.2621364374069444,-0.3502020858783379,-1.6470571634793645,-0.6071574550556368,1.5578143593357052,1.2140093187742238,-0.3693380728271725,-1.485015954749492,-0.1319734131544389,-1.405364718267774,-1.4593563162526098
14,1,-0.2543798896136859,-0.3187006808336982,-0.8259988768059586,0.3840360930980124,1.6945529634057128,-0.7722836015339577,-0.3708336454296325,1.113126879115681,-0.3594227844743415,-0.3694496725334537,-1.5881176018462546,-0.2972987101258987,-0.7087263278924888,2.222118927095186,-1.5876088866732936,2.197029841509764,-0.5333695306966024,0.6661158415463188,-0.3402868856580232,-1.6072680894700235,-0.2853715214578063,-1.4901126181298996,-0.2255714465301298,0.9293594927903344,1.3796988798901666,-0.3507133596010854,-1.556725241133438,-0.8045263139570886,-1.6062663605709602,-1.5826171321245213
15,1,-0.2320399596593975,-0.3025183859280936,1.2037181176743366,-0.656375793771899,-0.7091399635591878,0.9626532797820468,-1.311824020707368,-0.4160623485146915,-0.3100814205529108,-0.3649343026317062,-1.1006498910563625,0.4466498334124674,2.431966522902989,0.6170483428815483,-1.1010962483946605,0.8753956891569453,0.0687387772410505,-1.658138755343531,-0.1457330635353178,-1.1147740235547448,-0.249039281116435,0.6997709232301093,-0.1033820090953074,-0.0390143581758002,0.9157681087655288,-0.2330924229210204,-1.38737761107645,-0.2855211312095894,-1.2767876671937357,-1.360211746964333
16,1,-0.2543799077098956,-0.3187006790638468,-1.4298977767213723,-1.76845539731302,1.4275086135387989,-1.4731739972690456,-2.1856007977510044,-1.5715379329490966,-0.3594227922848242,-0.3694496875999234,0.9648201231715556,-0.3593613704446571,-0.1082997534757061,-1.2417188438447306,0.9650297643801206,-1.1491916204348436,-0.4252113678091226,0.2024262199683646,2.2044207152947557,0.9654963884127632,-0.4392303506441049,-1.652395413321183,2.1185544090630555,-0.8196422584444218,-1.4839690347303751,-0.8300060923066561,0.80853161225482,0.8042507953492506,0.8936197418216882,0.8702731037265293
17,1,-0.05254138861169,0.0040845342861504,1.3882505398249765,1.0010016540066835,-0.7091399635591878,1.4222422492024422,-0.7069016366002563,-0.9779299002695094,-0.2130848148449767,0.1055756871394265,0.8565460803972748,-0.0985939416488145,0.5845001400821199,-0.3449892686267825,0.857375903995062,-0.4791251606105549,0.310820908258216,-0.5822792934712492,-0.8714329181560616,0.8415140573806918,4.13800736045712,0.6997709232301093,-1.083286687518143,-0.8196422584444218,-0.1391220970059738,2.4140498132174155,0.705830327697285,0.287677363792669,0.7114689194667987,0.643044469249613
18,1,-0.1284920552720641,0.3335090856404609,1.3994224739645642,-0.3856128641971474,-0.7091399635591878,1.5084151809687665,-1.1773968242391333,0.5688081509490769,0.0922738520701516,0.8248607000926151,-0.1251964899145803,-0.2435335576541047,-0.1082997534757061,-0.711719010872778,-0.1260007052915329,-0.355800045305471,1.836491415399324,0.4985571589725324,-0.4791532007238674,-0.1071335144900107,-0.0972147718706651,0.6997709232301093,0.0966263996667203,-0.8196422584444218,0.404891961991373,0.4151650504932884,0.4985914326164635,0.1139808501556216,0.1650164524021328,0.3107761829861985
19,1,-0.2543795706183427,-0.3186999757219753,-0.2109280427509572,0.4903076729674488,-0.7091399635591878,-0.2380286419517319,0.8390111227846092,1.2017865878526577,-0.3594207954839495,-0.3694486618706548,-0.2447274113590317,-0.1786682653426909,0.8616200975052504,0.1900342594444298,-0.2440058984059229,-0.1235377448142297,4.19679132874649,-1.4980455586269916,-0.5094641222864629,-0.2418240942002629,-0.0750513914659583,0.6984363607696548,-0.7665498217653073,0.382919962602297,0.3496621082860587,1.177771551507404,-0.0826318245012951,1.0095600744682411,-0.1818737166413691,-0.1613663334623001
