f_id,i_id,ic.eps.max,ic.eps.s,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_distr.skewness,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.intercept,pca.expl_var.cov_init,disp.ratio_mean_05,disp.diff_mean_05,ela_level.mmce_qda_50,disp.ratio_mean_25,disp.ratio_mean_10,disp.diff_median_10,ela_level.qda_mda_10,ela_level.mmce_qda_25,disp.ratio_median_02,disp.diff_median_25,pca.expl_var_PC1.cor_init,ic.m0,ela_level.lda_qda_10,nbc.dist_ratio.coeff_var,ela_distr.kurtosis,disp.diff_median_02,ic.h.max,ela_meta.quad_simple.adj_r2,ela_level.lda_qda_25,disp.diff_mean_10,ela_level.mmce_mda_50
1,1,0.7559982813542857,1.315978671350712,1.3961337530056592,0.6463304788836871,-0.2323783691958918,0.0464140170167263,0.8458810894488334,0.580018067879671,-0.6548570506842823,0.0290882127219004,0.0293146742379393,-0.6562790443420061,-0.0783308877891232,-0.0446345017209794,-0.0610977005309396,-1.7524679814717536,-1.011503005937377,0.0688664772384383,-0.1023931927807675,0.9937920940218304,-0.8610062732265416,2.9084717301070766,-0.3925682083313609,-0.1974839993190599,0.0684687812361022,0.2003671784943976,0.6131654994300664,0.9922226931308102,-0.0447371750397047,-0.7596588883640388
2,1,4.610042661165938,1.4773153682663542,1.5725452707664551,0.6463304788836871,-0.2824758839549386,5.240166848120415,4.674828067471104,5.014641595587425,-0.6548570506842823,-1.5606134801714924,-1.560727042428964,-0.3140866611960657,-1.532557807252781,-1.573961841826281,-1.562122838165647,-0.2286366664121954,-0.3520928776938648,-1.556498006117092,-1.5153921789748594,0.9419809106930516,-0.5952945743887132,0.0952548136634336,-1.4223074617664753,-0.1997622220677388,-1.5566021305480808,0.6190236214691373,1.225931417558208,-0.2145115759960221,-1.574129275453482,-0.295692462580519
3,1,0.1002408882971972,1.2826053725226574,1.3221409749309974,0.6463304788836871,-0.1801737486658637,0.0151200083065016,-0.2745489259692782,-0.0104263225403114,-0.6548570506842823,1.1206588021117665,1.120380768060295,-0.7029254566126806,1.091946563438955,1.1240769251409024,1.1045379478515036,-1.4298447659471636,-0.8090453956628574,1.1409867321181304,1.0654810958322374,-1.3592991488268624,-0.2193290586057279,1.2775978522148572,0.5499050066770488,-0.1965222196007932,1.1406815723754835,-0.634418606189639,-0.6520740627361846,1.814350067439196,1.124341686432183,-0.9083217520651674
4,1,-0.3870866613841446,-0.1248808547377969,-0.1176339806900679,0.6463304788836871,-0.2084998848466074,-0.2643009459620616,-0.3628091396542721,-0.3303062792669957,-0.6548570506842823,-0.9529567217750116,-0.9529137504581614,-0.3796052860647995,-0.8165995052016356,-0.9185358389240084,-0.9246204202175268,-0.313072096823582,-0.6992792214176367,-1.0380411041287494,-0.8366221058831752,0.5512382364218466,-0.6945230096393558,0.3262354601489496,-0.9560574850295108,-0.1962774476354372,-1.0380929729910462,-0.0734021252617191,0.6185731663827858,-0.0817200499559349,-0.91847067283059,-0.3382169561508416
5,1,-0.387091589776844,-1.5045513683205802,-1.4607038149089049,-1.8069335369896613,-0.4442008592518933,-0.2643087956282858,-0.3628131720105892,-0.3303102640860861,1.5470030867191007,1.329178798927197,1.329196042083706,2.3045218566553856,1.420516662397266,1.3372877935548944,1.3367100877816782,1.5154113793149004,1.999342499470417,1.2776212915750418,1.4291700588963276,-1.4067927335449095,2.0937960209036643,-1.193605615748478,1.7940693831034944,-0.1991825528945528,1.277610080661463,1.2710157479529354,-1.605368494115568,-1.019889326379619,1.3372030459884765,2.2298475823886403
7,1,-0.3870915236689547,-0.7257113853457917,-0.6696661551848574,0.1298611806956788,-0.3050581603809663,-0.2643085591587705,-0.3628130948284872,-0.3303101649704189,0.4459216458094205,-1.3147073223108714,-1.314041904385283,-0.5466065635834737,-1.1390849726977612,-1.2409843744883786,-1.2294949215475826,-0.2545948561670471,-0.7675781742813294,-1.3699876412142518,-1.1298523847284545,1.34135878218572,-0.849980891532027,0.2125397233826457,-1.305121638736329,-0.2005634149903244,-1.3698213867960671,0.5423682164174236,1.3779641113146608,-0.3732523300104982,-1.241587789986768,-0.5287128582422868
8,1,-0.3870915747364956,-0.9148637959391052,-0.8517628652679481,-1.69527580207776,-0.3321740929556361,-0.2643087458340678,-0.3628131650807566,-0.3303102147324471,1.5470030867191007,-1.1546313651596325,-1.1547852115354265,-0.0032292725525634,-1.3094546536391094,-1.2370360250733052,-1.226554093493101,0.7774571277126763,0.2479622081800063,-1.06528419113703,-1.2861111421793316,0.9506161079145148,0.6990852365474285,-0.7350019361850048,-0.4499144621546239,-0.2001231326978285,-1.065334342947575,1.131182811265196,0.991238671810188,-0.7351457196582087,-1.2367587104141975,0.168965418383006
9,1,-0.3870915720913764,-0.8926056674118178,-0.8347072883010648,-1.6586141487920794,-0.3019312891348161,-0.264308731720947,-0.3628131637358666,-0.3303102033923565,1.8221977608425264,-1.139887527000966,-1.1399228330924789,-0.0723086922511196,-1.3023559169332184,-1.2212426274130097,-1.2189967888901978,0.6276983406654534,0.2154388972925353,-1.039717601790798,-1.291170023469978,0.4281866760159978,0.385964396423183,-0.6294107835059121,-0.6119799620899325,-0.1993646468503699,-1.0402975819199964,1.020832722674268,0.6049767466159484,-0.5088989055832202,-1.2209388639392356,0.0126965477018204
10,1,-0.3870913070906165,-0.5588171032797657,-0.4875410191401552,0.4274757425395109,-0.369751836399056,-0.2643087487306472,-0.36281315149043,-0.3303098434376279,-0.6548570506842823,1.253879911188292,1.2535602322255384,1.869036648968096,1.390093505086314,1.289249542338161,1.2897113949074512,1.5154113793149004,2.00096866501479,1.2042745188604418,1.392267147241605,-1.2384063877263791,2.0893858682258584,-1.193605615748478,1.819002536939696,-0.2003041000881147,1.2045409186545195,1.3224001403502372,-1.4415934378332105,-1.019889326379619,1.2891642248289568,1.8478185954357416
11,1,-0.3870912937444837,-0.5532595181293818,-0.4875410191401552,0.4295667113580859,-0.3691682356753147,-0.2643087614879224,-0.362813149918539,-0.3303098256912454,-0.6548570506842823,1.0511521365066236,1.050851190598349,1.92351680986438,1.1375812994053869,1.0852514892260088,1.086630591155796,1.5154113793149004,2.002594830559164,1.0102199144783863,1.1410468794318362,-1.257835581474671,2.06402749032847,-1.193605615748478,1.6569370370043872,-0.2003051242385973,1.0103586339140749,1.3358780137659234,-1.5013867838532786,-1.021158237283012,1.0853609612756503,1.8917259993660756
12,1,-0.3870915867968996,-1.1039884186066664,-1.045258385957239,-1.8079093224383296,-0.3035039395061608,-0.2643087955073229,-0.3628131719673509,-0.3303101983172247,1.5470030867191007,1.2633580928617203,1.263259955368209,2.298824584927669,1.4022627680106972,1.3070171147059946,1.3099438762575413,1.5154113793149004,1.999342499470417,1.2461869604116416,1.4147689226408262,-1.4132691314610069,2.0937960209036643,-1.193605615748478,1.7915760677198749,-0.2004089730975391,1.2462303212098405,1.2988138618727878,-1.605368494115568,-1.019889326379619,1.3070336376206255,2.22189584781858
13,1,-0.387091588953174,-1.2375094018446378,-1.1989007084672465,-1.8049819660923248,-0.2974160624827132,-0.2643087950142881,-0.3628131709962916,-0.3303101890275597,1.5470030867191007,-1.4547737848182056,-1.4550401725922502,-0.5861313861945032,-1.260777601941582,-1.4015505840347195,-1.3851327907312685,-0.2386205855486765,-0.7740828364588257,-1.4806364869094202,-1.2420478441386422,1.4341871523164476,-0.862108811395993,0.2133501817913665,-1.342521369490631,-0.2000785821518327,-1.4797199033599038,0.5609002923639932,1.446873238769313,-0.3987574391686994,-1.401576053459091,-0.5380475031723576
14,1,-0.3870915747364956,-0.9092784228629692,-0.8517628652679481,-1.6410500107160502,-0.3041674013815718,-0.2643087775115531,-0.3628131641925707,-0.3303101632747374,1.8221977608425264,-1.5758838839786824,-1.5763064563302835,-0.2816834282446812,-1.6015169638242783,-1.598968054788416,-1.5766581146363392,-0.1918387930234486,-0.3146910701732726,-1.548953766637876,-1.5827006146377798,0.7217833815457431,-0.5379625895772331,0.0767300500355226,-1.5045868694259397,-0.1994932801509921,-1.5500758275614048,0.7394821151218286,1.1123704115511015,-0.1659757339412361,-1.5986227618923028,-0.1515240575494253
15,1,-0.3825659710380453,1.1101257173804957,0.8668707737616592,0.6463304788836871,0.4410538638428553,-0.2419430797912103,-0.3134241938109641,-0.3140984690550967,-0.6548570506842823,-1.3573591398413003,-1.3577582053458426,-0.0851275536384805,-1.1157605520926934,-1.2752034027523549,-1.2519667966988768,0.4762280246234039,0.3284574026265029,-1.38423787134166,-1.1024524550057242,-0.3360282780834855,-0.2204315967751818,-0.583793553072181,-0.9909639004001972,-0.0732082541704904,-1.3839242783715255,-1.6208304668001403,-0.4359218893974885,-0.2626032992346204,-1.275378358615062,-0.0277535803284863
