f_id,i_id,similar_instances
1,1,"[(3, 5), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4)]"
1,2,"[(13, 1), (13, 2)]"
1,3,"[(13, 1), (13, 2)]"
1,4,"[(13, 1)]"
1,5,"[(13, 1), (13, 3), (13, 4)]"
2,1,[]
2,2,[]
2,3,[]
2,4,[]
2,5,[]
3,1,"[(1, 1), (13, 5)]"
3,2,[]
3,3,[]
3,4,"[(15, 4)]"
3,5,"[(13, 3)]"
4,1,[]
4,2,[]
4,3,[]
4,4,[]
4,5,[]
5,1,[]
5,2,[]
5,3,[]
5,4,[]
5,5,[]
6,1,[]
6,2,[]
6,3,[]
6,4,[]
6,5,[]
7,1,[]
7,2,[]
7,3,[]
7,4,"[(13, 3)]"
7,5,[]
8,1,[]
8,2,[]
8,3,[]
8,4,[]
8,5,[]
9,1,[]
9,2,[]
9,3,[]
9,4,[]
9,5,[]
10,1,[]
10,2,[]
10,3,"[(11, 3), (11, 4)]"
10,4,[]
10,5,[]
11,1,"[(10, 5)]"
11,2,"[(10, 5)]"
11,3,[]
11,4,"[(10, 1)]"
11,5,"[(10, 5)]"
12,1,[]
12,2,[]
12,3,[]
12,4,[]
12,5,[]
13,1,"[(1, 2), (1, 3), (1, 4), (1, 5)]"
13,2,"[(1, 2), (1, 3)]"
13,3,"[(1, 1), (1, 5), (3, 1), (15, 4)]"
13,4,"[(1, 1), (1, 5), (15, 4)]"
13,5,"[(1, 1), (3, 5), (15, 1)]"
14,1,[]
14,2,[]
14,3,[]
14,4,[]
14,5,[]
15,1,"[(1, 1)]"
15,2,[]
15,3,[]
15,4,"[(3, 5), (13, 3), (13, 4)]"
15,5,[]
16,1,"[(21, 1), (21, 2), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,2,"[(21, 1), (21, 2), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,3,"[(21, 1), (21, 2), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,4,"[(21, 1), (21, 2), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,5,"[(21, 1), (21, 2), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
17,1,"[(18, 1)]"
17,2,"[(18, 2)]"
17,3,[]
17,4,[]
17,5,"[(18, 2), (18, 5)]"
18,1,"[(17, 1)]"
18,2,"[(17, 2), (17, 5)]"
18,3,"[(17, 3)]"
18,4,"[(17, 4), (17, 5)]"
18,5,"[(17, 5)]"
19,1,"[(24, 2), (24, 4), (24, 5)]"
19,2,"[(24, 2), (24, 5)]"
19,3,[]
19,4,"[(24, 1), (24, 3), (24, 4)]"
19,5,"[(24, 2)]"
20,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4)]"
20,2,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4)]"
20,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4)]"
20,4,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4)]"
20,5,"[(1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (13, 1), (13, 2), (13, 3), (13, 5), (15, 1), (15, 4)]"
21,1,"[(22, 3)]"
21,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (22, 3), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
21,3,[]
21,4,[]
21,5,"[(22, 3), (22, 5)]"
22,1,[]
22,2,[]
22,3,"[(21, 1), (21, 2), (21, 4), (21, 5)]"
22,4,[]
22,5,"[(21, 1), (21, 4), (21, 5)]"
23,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2)]"
23,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2)]"
23,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2)]"
23,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2)]"
23,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (21, 1), (21, 2)]"
24,1,"[(19, 1), (19, 2), (19, 3), (19, 4)]"
24,2,"[(19, 1), (19, 2), (19, 3), (19, 5)]"
24,3,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,4,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,5,"[(19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
