feature_name,feature_importance,rank
ela_meta.lin_simple.coef.max,0.027577207564950183,1
ic.eps.max,0.018078092113419375,2
ela_meta.quad_w_interact.adj_r2,0.016693817847032034,3
ela_level.qda_mda_10,0.01573669001531978,4
ic.h.max,0.015431007992126083,5
pca.expl_var_PC1.cor_init,0.015389481918338868,6
disp.ratio_median_05,0.012959025413649673,7
ela_level.mmce_lda_50,0.011029604567975202,8
nbc.nn_nb.cor,0.010918228510151224,9
disp.ratio_mean_02,0.01063792814911184,10
disp.diff_mean_05,0.010043544899759924,11
disp.diff_median_25,0.009317064482137908,12
ic.eps.ratio,0.009245680648319734,13
ela_meta.lin_simple.adj_r2,0.009206729988852708,14
ela_meta.lin_simple.coef.min,0.009085540817747133,15
ela_distr.kurtosis,0.008973243995813106,16
ic.eps.s,0.008695544649639425,17
disp.diff_median_10,0.008370713568292071,18
ela_level.lda_mda_25,0.007980322858201674,19
disp.ratio_mean_10,0.007442654319278675,20
ela_meta.quad_simple.adj_r2,0.00728424377656071,21
nbc.nn_nb.sd_ratio,0.0068148526362223835,22
ela_meta.lin_simple.intercept,0.006798121144313563,23
disp.diff_mean_02,0.006367096127185441,24
ela_level.lda_qda_50,0.00626928773007005,25
ela_level.lda_qda_25,0.005841837626254535,26
ela_level.qda_mda_25,0.005094661544957583,27
ela_distr.skewness,0.004932659921250178,28
disp.diff_median_05,0.004626718458318539,29
nbc.nn_nb.mean_ratio,0.004537701822938942,30
ela_meta.quad_simple.cond,0.004197528565826415,31
ela_level.mmce_mda_10,0.003971562492102597,32
nbc.nb_fitness.cor,0.003963876043522372,33
disp.diff_median_02,0.003841494572535277,34
pca.expl_var.cor_init,0.0038166253729163225,35
disp.ratio_median_25,0.00370353173407627,36
ela_level.mmce_mda_25,0.0035568141803799963,37
ela_meta.lin_w_interact.adj_r2,0.0035262010405554293,38
pca.expl_var_PC1.cov_init,0.003420093629128057,39
ela_level.lda_mda_50,0.003263478901165938,40
disp.ratio_median_02,0.002675239793699019,41
ela_level.mmce_lda_25,0.0026659282716707798,42
ela_meta.lin_simple.coef.max_by_min,0.002629508033196246,43
pca.expl_var.cov_init,0.002369182891528269,44
disp.ratio_mean_25,0.0023040704693916385,45
ela_level.mmce_mda_50,0.0022948541123282242,46
ic.m0,0.0019479679007995132,47
ela_level.qda_mda_50,0.0017393245978736872,48
ela_level.mmce_qda_25,0.0017377797053590542,49
pca.expl_var_PC1.cor_x,0.0017094781585644647,50
disp.diff_mean_25,0.0016609664473756988,51
ela_level.mmce_lda_10,0.0016262111284767414,52
nbc.dist_ratio.coeff_var,0.0014073610525886025,53
ela_level.lda_qda_10,0.001001243525284345,54
ela_distr.number_of_peaks,0.0008916200862260616,55
disp.ratio_median_10,0.0007763336601695573,56
disp.ratio_mean_05,0.0006529918749998188,57
disp.diff_mean_10,0.0006260615774462295,58
ela_level.mmce_qda_50,0.0005913618922916321,59
ela_level.lda_mda_10,0.0004932365070190189,60
ela_level.mmce_qda_10,0.00014429900494798372,61
