feature_name,feature_importance,rank
ela_level.mmce_mda_50,0.04661259808169158,1
ela_level.lda_mda_10,0.03798760322705329,2
ela_level.mmce_mda_10,0.03684171860812148,3
disp.ratio_mean_10,0.03602386093401226,4
disp.diff_median_25,0.03104663744923392,5
ic.eps.s,0.030828520325313934,6
ela_meta.lin_simple.intercept,0.027734813346756888,7
pca.expl_var.cor_init,0.02736072780559856,8
pca.expl_var_PC1.cor_init,0.02719422840869257,9
ela_meta.lin_simple.coef.min,0.026526720559798486,10
ela_level.lda_qda_25,0.024501486206985945,11
ela_level.mmce_qda_50,0.024394364510812106,12
ela_meta.lin_simple.coef.max,0.02394275649040644,13
disp.ratio_median_05,0.023645730911195185,14
disp.ratio_median_02,0.02135418235750094,15
disp.ratio_median_25,0.01994830248474038,16
disp.diff_mean_05,0.018265338126750085,17
ela_meta.quad_simple.adj_r2,0.0174780665602478,18
ela_level.lda_mda_25,0.017211835975438513,19
ela_level.mmce_lda_50,0.014649262635511907,20
ela_meta.lin_w_interact.adj_r2,0.014097911243714595,21
disp.diff_mean_25,0.012634684391627576,22
disp.diff_median_02,0.012152887032163624,23
ic.m0,0.010441546814251043,24
ela_level.lda_qda_10,0.01022982779593904,25
ela_distr.number_of_peaks,0.00852731858959839,26
ic.eps.ratio,0.007966209949118758,27
ela_level.mmce_lda_10,0.007092017505931599,28
ic.eps.max,0.006199149989754296,29
nbc.nn_nb.cor,0.005695333201072701,30
disp.ratio_mean_05,0.005551714519072467,31
ela_meta.quad_simple.cond,0.00543612625860374,32
ela_meta.lin_simple.coef.max_by_min,0.004240461435354229,33
ela_distr.skewness,0.004077576973550386,34
nbc.nb_fitness.cor,1.3310857905063204e-05,35
pca.expl_var.cov_init,0.0,36
ela_meta.quad_w_interact.adj_r2,0.0,37
pca.expl_var_PC1.cor_x,0.0,38
ic.h.max,0.0,39
nbc.nn_nb.mean_ratio,0.0,40
nbc.nn_nb.sd_ratio,0.0,41
nbc.dist_ratio.coeff_var,0.0,42
disp.diff_mean_02,0.0,43
ela_meta.lin_simple.adj_r2,0.0,44
ela_level.qda_mda_50,0.0,45
disp.diff_mean_10,0.0,46
disp.diff_median_05,0.0,47
disp.diff_median_10,0.0,48
disp.ratio_mean_02,0.0,49
disp.ratio_mean_25,0.0,50
disp.ratio_median_10,0.0,51
ela_distr.kurtosis,0.0,52
ela_level.lda_mda_50,0.0,53
ela_level.lda_qda_50,0.0,54
ela_level.mmce_lda_25,0.0,55
ela_level.mmce_mda_25,0.0,56
ela_level.mmce_qda_10,0.0,57
ela_level.mmce_qda_25,0.0,58
ela_level.qda_mda_10,0.0,59
ela_level.qda_mda_25,0.0,60
pca.expl_var_PC1.cov_init,0.0,61
