max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
7,log2,2,70,1,1
5,1.0,2,50,1,2
10,log2,7,50,1,3
5,log2,5,70,1,4
7,sqrt,7,10,1,5
3,log2,2,10,1,6
10,sqrt,5,70,1,7
3,1.0,7,70,1,8
7,sqrt,5,50,1,9
5,log2,7,20,1,10
7,log2,7,70,1,11
5,sqrt,5,70,1,12
5,sqrt,10,70,1,13
10,log2,5,20,1,14
7,sqrt,2,10,1,15
10,sqrt,2,10,1,16
5,log2,2,20,1,17
3,log2,2,70,1,18
5,log2,10,10,1,19
10,log2,2,10,1,20
10,log2,2,20,1,21
5,log2,2,20,1,22
3,sqrt,5,10,1,23
5,log2,7,10,1,24
3,1.0,10,10,1,25
5,sqrt,10,10,1,26
7,sqrt,5,20,1,27
5,sqrt,2,10,1,28
7,1.0,7,10,1,29
5,log2,2,10,1,30
