feature_name,feature_importance,rank
pca.expl_var_PC1.cov_init,0.22214678342325953,1
ic.eps.s,0.1296494868855711,2
ela_meta.lin_w_interact.adj_r2,0.12073490367213749,3
ic.eps.max,0.10996961664948912,4
ela_meta.lin_simple.coef.min,0.10979960326057943,5
ic.eps.ratio,0.10901474753569226,6
disp.diff_median_25,0.09139843387905837,7
ela_meta.lin_simple.coef.max,0.0736492451394057,8
ela_meta.lin_simple.intercept,0.0608751170486226,9
nbc.nn_nb.mean_ratio,0.057760247834779815,10
ela_level.mmce_qda_25,0.05004569545442382,11
pca.expl_var_PC1.cor_x,0.04937633621463726,12
nbc.nn_nb.sd_ratio,0.04765899945297174,13
pca.expl_var.cov_init,0.045594835875656874,14
ela_distr.skewness,0.04234828520158256,15
ela_distr.kurtosis,0.04037668268917197,16
ela_meta.quad_simple.adj_r2,0.03864983965274888,17
ela_level.mmce_qda_10,0.02962076970898396,18
disp.diff_mean_25,0.027855284629815978,19
disp.ratio_mean_25,0.027668964802325037,20
nbc.nb_fitness.cor,0.025640781106929994,21
ela_meta.lin_simple.coef.max_by_min,0.025227881684242767,22
nbc.dist_ratio.coeff_var,0.02464688303715313,23
disp.ratio_median_10,0.023858943036771302,24
ic.h.max,0.022203585310631463,25
disp.ratio_median_02,0.020880474296797596,26
ela_level.lda_qda_10,0.019822086156032894,27
ela_level.mmce_mda_25,0.01894697922240729,28
ic.m0,0.018388345026502845,29
ela_meta.quad_simple.cond,0.013328134481866432,30
ela_meta.lin_simple.adj_r2,0.012082437991722655,31
disp.ratio_median_25,0.011623784594539938,32
ela_level.qda_mda_25,0.009373989329980799,33
ela_distr.number_of_peaks,0.009234292224822764,34
pca.expl_var_PC1.cor_init,0.009205258569946133,35
ela_level.lda_mda_50,0.008129529246240243,36
ela_level.lda_mda_25,0.007239558064404307,37
disp.diff_median_10,0.006787886272170257,38
ela_level.lda_qda_25,0.0051102419372592335,39
nbc.nn_nb.cor,0.005108591189594198,40
ela_level.mmce_lda_50,0.005040970460693008,41
ela_level.qda_mda_10,0.004249726572638697,42
ela_level.mmce_mda_50,0.00422017051515808,43
disp.diff_mean_05,0.0038128475129678833,44
disp.diff_median_02,0.003652601891394,45
disp.ratio_mean_05,0.003623596548745121,46
ela_meta.quad_w_interact.adj_r2,0.003580657034351305,47
ela_level.lda_qda_50,0.0035576498973772163,48
disp.diff_mean_10,0.0034005612422215474,49
disp.diff_mean_02,0.0033582701547940543,50
ela_level.mmce_lda_10,0.0033175560018009376,51
ela_level.mmce_mda_10,0.002952561120075334,52
disp.ratio_mean_02,0.002872355436250875,53
ela_level.qda_mda_50,0.002799922059074363,54
disp.diff_median_05,0.002622870603455596,55
ela_level.mmce_qda_50,0.0016141586497035005,56
ela_level.lda_mda_10,0.0009346082732246774,57
ela_level.mmce_lda_25,0.0007807345666548834,58
disp.ratio_mean_10,0.0003304448719160964,59
pca.expl_var.cor_init,8.183501517006633e-05,60
disp.ratio_median_05,0.0,61
