max_depth,max_features,min_samples_split,n_estimators,random_state,fold_number
5,1.0,7,10,1,1
7,log2,2,20,1,2
7,sqrt,7,70,1,3
5,sqrt,2,50,1,4
7,sqrt,2,70,1,5
7,sqrt,2,70,1,6
7,sqrt,5,70,1,7
5,sqrt,2,20,1,8
5,sqrt,5,70,1,9
7,sqrt,7,70,1,10
10,sqrt,5,70,1,11
7,1.0,5,20,1,12
10,sqrt,7,70,1,13
10,sqrt,5,50,1,14
10,sqrt,5,50,1,15
7,sqrt,7,70,1,16
5,sqrt,7,50,1,17
10,1.0,2,20,1,18
7,sqrt,7,50,1,19
5,sqrt,5,50,1,20
5,1.0,2,20,1,21
10,sqrt,7,70,1,22
10,sqrt,2,10,1,23
7,sqrt,2,50,1,24
10,sqrt,2,50,1,25
7,sqrt,7,70,1,26
10,sqrt,7,70,1,27
10,sqrt,7,70,1,28
10,sqrt,2,50,1,29
10,sqrt,2,50,1,30
