feature_name,feature_importance,rank
disp.diff_mean_10,0.362264816382457,1
disp.diff_median_10,0.2576557719459348,2
disp.ratio_mean_05,0.22807923909825986,3
disp.ratio_mean_25,0.22638162008890778,4
disp.ratio_mean_02,0.21163188058412483,5
disp.ratio_mean_10,0.13630522540186957,6
disp.ratio_median_25,0.1361143621617873,7
disp.diff_median_05,0.13207510791075724,8
disp.diff_mean_25,0.11878459932997791,9
ela_meta.lin_simple.intercept,0.11481810295598914,10
disp.diff_mean_05,0.11344174769433829,11
disp.ratio_median_10,0.10959690201827665,12
nbc.nn_nb.sd_ratio,0.10769262529345067,13
nbc.nn_nb.cor,0.10725020729459543,14
disp.diff_mean_02,0.09953431168605531,15
ic.eps.s,0.09800109385642938,16
ic.eps.ratio,0.09263868031611672,17
ic.eps.max,0.08259807000699346,18
pca.expl_var_PC1.cov_init,0.05958256121217347,19
ela_meta.lin_simple.coef.min,0.05438891229413568,20
ela_meta.lin_simple.coef.max,0.04363456206998892,21
disp.diff_median_25,0.03983106841968488,22
pca.expl_var.cov_init,0.039458407918142376,23
disp.ratio_median_05,0.03390369087769168,24
ela_distr.kurtosis,0.026127000310214955,25
ela_meta.quad_simple.adj_r2,0.024987627342902177,26
ela_level.mmce_qda_50,0.018869464928589878,27
ela_level.mmce_mda_50,0.01728934336862448,28
ela_level.lda_mda_50,0.016820518387408934,29
ela_level.mmce_mda_10,0.015464844668233176,30
nbc.dist_ratio.coeff_var,0.015328297850613046,31
ela_level.qda_mda_10,0.014875116670606453,32
ela_distr.skewness,0.014243615993637238,33
disp.diff_median_02,0.013776218764266348,34
ela_level.lda_qda_10,0.012687760522408408,35
disp.ratio_median_02,0.010138161998978304,36
ela_level.mmce_qda_25,0.009716836062373873,37
ela_meta.lin_w_interact.adj_r2,0.009060226163838742,38
ela_distr.number_of_peaks,0.008207733071960011,39
ela_meta.lin_simple.adj_r2,0.008179735783296092,40
ela_level.mmce_lda_25,0.007677689154147103,41
ic.h.max,0.006316540928646645,42
ela_level.qda_mda_25,0.006291315984858206,43
nbc.nb_fitness.cor,0.005952077406856684,44
ela_level.mmce_lda_50,0.005631243269521993,45
pca.expl_var_PC1.cor_init,0.005276206273326909,46
nbc.nn_nb.mean_ratio,0.004948752105277541,47
pca.expl_var_PC1.cor_x,0.002560292222839996,48
ela_level.lda_qda_50,0.0023291085765467312,49
ela_meta.quad_w_interact.adj_r2,0.0016047936849010558,50
ela_meta.lin_simple.coef.max_by_min,0.0013433184418737793,51
ic.m0,0.001160577800951356,52
ela_meta.quad_simple.cond,0.000970804577571575,53
ela_level.lda_mda_10,0.0009309644884092283,54
pca.expl_var.cor_init,0.0009224259333087703,55
ela_level.lda_qda_25,0.0007195937959432186,56
ela_level.qda_mda_50,0.00042917450235331546,57
ela_level.mmce_qda_10,0.0002938879058629641,58
ela_level.mmce_mda_25,0.00019234508528134624,59
ela_level.lda_mda_25,5.160749644825136e-05,60
ela_level.mmce_lda_10,0.0,61
